ID,area,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ann_mm,regime
08HC002,187,356.3667144,224.1170485,228.0751253,236.1137965,290.3854548,263.1170062,154.0570689,81.26095973,77.22609617,261.2183689,449.3617429,332.6790953,2953.9784776,Pluvial Dominant Hybrid
08HD011,302,168.3341889,110.1229022,114.9287842,132.8843441,190.2521328,155.7174023,75.04250106,30.83707573,22.0763445,104.7159795,190.9068089,145.8102049,1441.62866909,Nival Dominant Hybrid
08HD015,268,187.2916892,116.1292447,137.2323076,165.9999157,202.2113468,136.2216206,56.27638164,23.29475091,27.1383047,149.8691383,231.9326414,158.5885979,1592.18593945,Pluvial Dominant Hybrid
08HE006,178,582.7562091,383.0931644,345.4243924,333.517177,307.8225342,270.4437881,188.0522698,151.6058217,163.4561807,440.9633051,653.5126808,515.3662916,4336.0138149,Pluvial Dominant Hybrid
08HE008,14.600000380000001,375.5416395,183.252817,239.2367607,252.6312277,204.9770886,102.6443801,51.28190445,53.52566356,105.3734015,314.3521478,477.1983853,333.431157,2693.44657321,Pluvial Dominant Hybrid
08HE009,33.29999924,962.7092216,542.4583944,691.3167749,538.5729836,370.2573066,259.459467,222.3647421,208.4004381,313.2494102,806.8610526,1097.214177,860.7507956,6873.6147637,Pluvial Dominant Hybrid
08HE010,19.60000038,612.5783933,287.2840015,384.8647067,353.0938693,412.9407015,364.0341299,259.6863618,220.6325744,201.5532412,529.6672614,712.5595378,540.4007257,4879.2955045,Pluvial Dominant Hybrid
08HF004,365,264.4644826,162.1389495,147.676459,163.5208761,190.1786304,148.1274752,75.58224646,41.62649453,51.03517783,209.6245472,302.826084,225.9640119,1982.76543472,Pluvial Dominant Hybrid
08HF005,783,326.8640004,195.6855177,202.2442046,204.4689665,199.8985892,156.7054194,90.12702841,53.99151443,56.48078821,223.1589532,398.7310345,319.4924128,2427.84842935,Pluvial Dominant Hybrid
08HF006,64.40000153,526.407855,337.3869485,398.7263637,290.4990815,136.163671,100.3118374,91.54191321,106.8032766,165.6753152,458.5304254,588.5664537,526.2529084,3726.86604961,Pluvial
08HF012,22.299999239999998,442.8968761,285.0231488,366.1280811,234.039995,88.38997448,56.10486652,51.57236702,69.39449254,130.7265724,375.003731,500.3391689,404.1714086,3003.79068246,Pluvial
08HF013,16.299999239999998,399.8429576,203.8914815,270.230108,188.4079046,81.95038043,42.588022,46.85830841,72.54685084,127.7447907,323.9233583,488.1865226,358.0132366,2604.18392158,Pluvial
08MH155,70,179.8507341,94.52435295,99.32007529,64.79003056,39.11935629,23.13288787,13.87764405,12.68266543,15.96785946,53.88293252,156.5624976,151.3766928,905.08772892,Pluvial
08OA002,480,276.8257239,195.9293796,176.3087577,140.9772427,84.67746215,50.18089642,31.52315194,37.23014476,104.8214481,269.0329653,294.5048262,300.8018555,1962.81385427,Pluvial
08OB002,76.69999695,447.3062869,318.0269227,287.8319801,251.113589,180.3392871,120.0894065,66.49374925,73.63384142,200.3959416,450.8108037,468.3728251,495.8332725,3360.24790587,Pluvial Dominant Hybrid
