"ID","Mean Bias","Max Error","MAE","RMSE","r_pear","r_spear","nse","name","area"
"08GA075",-1.63,-63.82,26.99,32.02,0.9,0.89,0.8,"MAMQUAM RIVER ABOVE RING CREEK",274.715
"12020000",-21.35,-102.2,31.88,45.42,0.97,0.97,0.85,"CHEHALIS RIVER NEAR DOTY, WA",294.223
"08GA072",10.71,73.08,22.53,31.66,0.97,0.99,0.94,"CHEAKAMUS RIVER ABOVE MILLAR CREEK",296.924
"08HD011",33.08,74.39,33.95,39.6,0.92,0.88,0.45,"OYSTER RIVER BELOW WOODHUS CREEK",297.42
"08HB002",-2.01,-45.63,15.56,22.16,0.96,0.98,0.93,"ENGLISHMAN RIVER NEAR PARKSVILLE",317.704
"08DC006",87.61,292.06,90.82,134.36,1,0.99,0.39,"BEAR RIVER ABOVE BITTER CREEK",317.736
"08CG006",35.84,174.95,42.79,68.73,0.99,0.97,0.94,"FORREST KERR CREEK ABOVE 460 M CONTOUR",334.2
"12043000",-31.63,-152.83,43.64,65.15,0.95,0.94,0.84,"CALAWAH RIVER NEAR FORKS, WA",337.185
"12013500",18.86,62.23,27.95,33.94,0.97,0.97,0.91,"WILLAPA RIVER NEAR WILLAPA, WA",337.685
"12082500",-22.98,-89.63,35.12,45.11,0.72,0.53,-0.14,"NISQUALLY RIVER NEAR NATIONAL, WA",349.998
"08HA001",-5.12,-92.14,32.26,40.14,0.92,0.9,0.85,"CHEMAINUS RIVER NEAR WESTHOLME",351.279
"08FF002",8.26,-53.85,29.55,33.99,0.97,0.94,0.79,"HIRSCH CREEK NEAR THE MOUTH",353.403
"08EE020",-22.48,-90.87,27.24,36.48,0.96,0.98,0.84,"TELKWA RIVER BELOW TSAI CREEK",364.433
